log,lat,lon
0.99704,300,0
0.0043926,299,8.1582
0.54261,298,11.528
0.86135,297,14.107
0.90914,296,16.275
0.84535,295,18.181
0.87887,294,19.9
0.74618,293,21.476
0.11749,292,22.94
0.50902,291,24.31
0.16883,290,25.604
0.83111,289,26.831
0.92801,288,28
0.16948,287,29.119
0.88374,286,30.192
0.38786,285,31.225
0.38257,284,32.221
0.27145,283,33.185
0.86788,282,34.117
0.7415,281,35.022
0.44787,280,35.901
0.70964,279,36.756
0.94433,278,37.588
0.17412,277,38.4
0.2446,276,39.192
0.64093,275,39.965
0.80861,274,40.721
0.85337,273,41.461
0.39812,272,42.185
0.11549,271,42.894
0.080281,270,43.589
0.36047,269,44.271
0.82891,268,44.939
0.21461,267,45.596
0.79104,266,46.241
0.65469,265,46.875
0.026146,264,47.497
0.78578,263,48.11
0.92256,262,48.712
0.49231,261,49.305
0.83401,260,49.889
0.13135,259,50.463
0.75978,258,51.029
0.92574,257,51.587
0.83271,256,52.137
0.2594,255,52.678
0.21302,254,53.212
0.52231,253,53.739
0.39736,252,54.259
0.47911,251,54.771
0.9939,250,55.277
0.60448,249,55.776
0.94491,248,56.269
0.49044,247,56.756
0.43795,246,57.236
0.77266,245,57.711
0.74407,244,58.18
0.4429,243,58.643
0.053,242,59.101
0.087822,241,59.553
0.79799,240,60
0.65558,239,60.442
0.032336,238,60.879
0.55707,237,61.311
0.7198,236,61.738
0.11041,235,62.16
0.21665,234,62.578
0.81102,233,62.991
0.13866,232,63.4
0.8819,231,63.804
0.92356,230,64.205
0.012756,229,64.6
0.37716,228,64.992
0.16781,227,65.38
0.54022,226,65.764
0.10166,225,66.144
0.039268,224,66.52
0.93323,223,66.892
0.97159,222,67.261
0.36093,221,67.626
0.64421,220,67.987
0.067947,219,68.345
0.20791,218,68.699
0.039604,217,69.05
0.46936,216,69.397
0.1501,215,69.742
0.99131,214,70.082
0.42706,213,70.42
0.95537,212,70.755
0.72425,211,71.086
0.58089,210,71.414
0.54026,209,71.739
0.70544,208,72.062
0.0050289,207,72.381
0.78252,206,72.697
0.92686,205,73.011
0.0082957,204,73.321
0.82463,203,73.629
0.76734,202,73.934
0.99714,201,74.236
0.22765,200,74.536
0.91954,199,74.832
0.642,198,75.127
0.10532,197,75.418
0.26816,196,75.707
0.76384,195,75.993
0.80551,194,76.277
0.10425,193,76.559
0.46976,192,76.837
0.21906,191,77.114
0.92271,190,77.388
0.32032,189,77.66
0.85754,188,77.929
0.25985,187,78.196
0.87806,186,78.46
0.18827,185,78.722
0.75919,184,78.982
0.031689,183,79.24
0.64234,182,79.496
0.56687,181,79.749
0.37641,180,80
0.21255,179,80.249
0.79216,178,80.496
0.14544,177,80.74
0.48914,176,80.983
0.012846,175,81.223
0.18661,174,81.462
0.48523,173,81.698
0.83823,172,81.932
0.14106,171,82.164
0.73222,170,82.395
0.69107,169,82.623
0.034493,168,82.849
0.48886,167,83.074
0.97139,166,83.296
0.11245,165,83.516
0.74321,164,83.735
0.63854,163,83.952
0.59418,162,84.167
0.49862,161,84.379
0.56785,160,84.591
0.4265,159,84.8
0.076239,158,85.007
0.29059,157,85.213
0.56134,156,85.417
0.63333,155,85.619
0.93078,154,85.819
0.97777,153,86.017
0.093597,152,86.214
0.66173,151,86.409
0.60277,150,86.603
0.47382,149,86.794
0.35626,148,86.984
0.47558,147,87.172
0.67102,146,87.359
0.95965,145,87.544
0.089084,144,87.727
0.79774,143,87.908
0.59078,142,88.088
0.9122,141,88.267
0.10113,140,88.443
0.29329,139,88.618
0.051588,138,88.792
0.50413,137,88.964
0.76838,136,89.134
0.28299,135,89.303
0.22536,134,89.47
0.33129,133,89.636
0.45325,132,89.8
0.73738,131,89.962
0.50989,130,90.123
0.38251,129,90.283
0.90548,128,90.441
0.96526,127,90.597
0.62827,126,90.752
0.13203,125,90.906
0.6183,124,91.058
0.38302,123,91.209
0.99119,122,91.358
0.28683,121,91.505
0.70619,120,91.652
0.53521,119,91.796
0.19321,118,91.94
0.68944,117,92.081
0.050455,116,92.222
0.18443,115,92.361
0.045658,114,92.499
0.88504,113,92.635
0.83979,112,92.77
0.11816,111,92.903
0.41041,110,93.035
0.12023,109,93.166
0.57209,108,93.295
0.94939,107,93.423
0.25639,106,93.55
0.98987,105,93.675
0.34981,104,93.799
0.20852,103,93.921
0.66583,102,94.043
0.97334,101,94.162
0.6227,100,94.281
0.063538,99,94.398
0.37351,98,94.514
0.16625,97,94.629
0.23128,96,94.742
0.052209,95,94.854
0.90176,94,94.964
0.79329,93,95.074
0.37301,92,95.182
0.83205,91,95.288
0.75383,90,95.394
0.62186,89,95.498
0.39409,88,95.601
